name,act,location,image,lat,long
Rhys Crimmin,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/bdc78689d25d44ddbe9b7afaef939e9d32172ba3_M.jpg,-37.816934,144.967073
Poet Theatre,others,melbourne,https://d3jbv7yugrz52w.cloudfront.net/c1ccc88eb1701a2ba194820abaa1b0a08d122519_M.jpg,-37.814764,144.966193
Aerial Manx,juggler,melbourne,https://d3jbv7yugrz52w.cloudfront.net/671ca3b7b04e81d823742fb844a0ab086d421e7e_M.jpg,-37.816087,144.963791
Tailor Birds,artist,melbourne,https://d3jbv7yugrz52w.cloudfront.net/a0645bbc50cf295868ab5154f5b5961bbe7b64c5_M.jpg,-37.814663,144.960874
Anthony Sandry,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/22e65ca44e6128be9b67450614ab2eb9cb4c80c2_M.jpg,-37.814422,144.968772
Ben Whiting,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/d9fcca15de897ea2247deb766c0b32175ed67416_M.jpg,-37.811947,144.962723
Jordan Doust,magician,melbourne,https://graph.facebook.com/10207110773063887/picture?width=250&amp;height=250,-37.810048,144.966756
Daniel Oldaker,clown,melbourne,https://d3jbv7yugrz52w.cloudfront.net/ad754cffb03da7b6859b14b97c553ffec91bfe2f_M.jpg,-37.809574,144.96371
The Gargoyle,statue,melbourne,https://d3jbv7yugrz52w.cloudfront.net/Gargoyle+over+city.small__M.jpeg,-37.810286,144.961394
Martin Schnurrbart,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/7bc28928d575257af3c05fd28d1d84d7cc17e37e_M.jpg,-37.810156,144.964478
Dana Crowe,musician,melbourne,https://graph.facebook.com/10156912571205497/picture?width=250&amp;height=250,-37.810211,144.965529
Josh Thompson,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/10410213_674618095926782_5042548888370073850_n_M.jpg,-37.81141,144.965321
Late Shift,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/641d7265dc72201515960716cc01d3c18cdeaa01_M.png,-37.811391,144.968766
Linda by Lesley,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/1ed1eb1a6cd089cc154420c7a01943365da03d74_M.png,-37.813035,144.968037
Nathan George,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/270592a5ea3f44ca6ee1ff4355f3bfe88eb4995f_M.jpg,-37.812198,144.964495
Antonio Signorelli,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/dfec3dea4ac9781f0bd9598c6193f89ff3da1d3d_M.jpg,-37.812834,144.964356
Dub FX,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/dub-fx-thumb_M.jpg,-37.813325,144.965396
Ukulele Ewie,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/3b2012311aa6f1fa682c367265789b8dbe88b9ee_M.jpg,-37.814358,144.958942
The Wanton Shillelag,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/170484a9c16c410247d78b60a9e48666cff0cb3d_M.jpg,-37.810611,144.955895
The Rapatar,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/9bbc471f8c1798531eecff3c59bfcfc753c1add8_M.jpg,-37.812069,144.954029
Nigel Ashcroft,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/afa3e70c86c2bd90e1d13777098d5edbb8585ac9_M.jpg,-37.809018,144.957696
Flow Of Contact,juggler,melbourne,https://d3jbv7yugrz52w.cloudfront.net/3105421078_b5ccd6fb82_M.jpg,-37.807814,144.961643
The Pierce Brothers ,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/The+Pierce+Brothers_M.jpg,-37.809425,144.968163
Joshua Herbst Jacobz,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/255fb8f506d404120b15d837f5f30130ef625fd1_M.jpg,-37.811188,144.969793
Helly Hoops,circus,melbourne,https://d3jbv7yugrz52w.cloudfront.net/d6c0ab3489b606314360ff48524c5aae6ad52c5f_M.jpg,-37.814866,144.972174
Blunderbuss Jones,circus,melbourne,https://d3jbv7yugrz52w.cloudfront.net/fa11b8828905c9fa9e51d51b3db3dcdaad2a44fa_M.jpgL,-37.815544,144.970865
Peter Davis,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/f1_M.png,-37.813307,144.973268
Tristan Hudson,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/b9492a665e7338371d1c87ed6fd88c106310a320_M.jpg,-37.818799,144.962826
Tarah,musician,melbourne,https://d3jbv7yugrz52w.cloudfront.net/d43d9c0d4b9b14fbb0db59636a80fc2580e01dd9_M.jpg,-37.817511,144.955037
